"","Type","Id","FirstName","LastName","City","Country","Phone","OrderDate","TotalAmount","OrderNumber","UnitPrice","Quantity","ProductName","Package","IsDiscontinued"
"1","Customer",71,"Jose","Pavarotti","Boise","USA","(208) 555-8097","29/03/2018","2048","542830",18,5,"Chai","10 boxes x 20 bags","0"
"2","Customer",63,"Horst","Kloss","Cunewalde","Germany","0372-035188","20/03/2018","10164,8","542821",18,30,"Chai","10 boxes x 20 bags","0"
"3","Customer",5,"Christina","Berglund","Luleå","Sweden","0921-12 34 65","18/03/2018","630","542819",18,35,"Chai","10 boxes x 20 bags","0"
"4","Customer",37,"Patricia","McKenna","Cork","Ireland","2967 542","03/02/2018","1928","542776",18,15,"Chai","10 boxes x 20 bags","0"
"5","Customer",7,"Frédérique","Citeaux","Strasbourg","France","88.60.15.31","16/01/2018","450","542758",18,25,"Chai","10 boxes x 20 bags","0"
"6","Customer",91,"Zbyszek","Piestrzeniewicz","Warszawa","Poland","(26) 642-7012","30/12/2017","808","542741",18,6,"Chai","10 boxes x 20 bags","0"
"7","Customer",18,"Janine","Labrune","Nantes","France","40.67.88.88","28/12/2017","424","542739",18,3,"Chai","10 boxes x 20 bags","0"
"8","Customer",51,"Jean","Fresnière","Montréal","Canada","(514) 555-8054","09/12/2017","1140","542720",18,20,"Chai","10 boxes x 20 bags","0"
"9","Customer",80,"Miguel","Angel Paolino","México D.F.","Mexico","(5) 555-2933","25/11/2017","838,45","542706",18,10,"Chai","10 boxes x 20 bags","0"
"10","Customer",87,"Pirkko","Koskitalo","Oulu","Finland","981-443655)","06/10/2017","1344","542656",18,8,"Chai","10 boxes x 20 bags","0"
"11","Customer",44,"Renate","Messner","Frankfurt a.M.","Germany","069-0245984","02/10/2017","2657,8","542652",18,40,"Chai","10 boxes x 20 bags","0"
"12","Customer",60,"Isabel","de Castro","Lisboa","Portugal","(1) 356-5634","18/08/2017","672","542607",14.4,15,"Chai","10 boxes x 20 bags","0"
"13","Customer",41,"Annette","Roulet","Toulouse","France","61.77.61.10","15/06/2017","2123,2","542543",14.4,24,"Chai","10 boxes x 20 bags","0"
"14","Customer",62,"Lúcia","Carvalho","Sao Paulo","Brazil","(11) 555-1189","08/06/2017","2018,2","542536",14.4,10,"Chai","10 boxes x 20 bags","0"
"15","Customer",14,"Yang","Wang","Bern","Switzerland","0452-076545","03/05/2017","1174","542500",14.4,15,"Chai","10 boxes x 20 bags","0"
"16","Customer",58,"Guillermo","Fernández","México D.F.","Mexico","(5) 552-3745","17/04/2017","568,8","542484",14.4,12,"Chai","10 boxes x 20 bags","0"
"17","Customer",86,"Rita","Müller","Stuttgart","Germany","0711-020361","11/04/2017","396","542478",14.4,15,"Chai","10 boxes x 20 bags","0"
"18","Customer",48,"Fran","Wilson","Portland","USA","(503) 555-9573","11/03/2017","288","542447",14.4,20,"Chai","10 boxes x 20 bags","0"
"19","Customer",65,"Paula","Wilson","Albuquerque","USA","(505) 555-5939)","16/02/2017","1887,6","542424",14.4,18,"Chai","10 boxes x 20 bags","0"
"20","Customer",63,"Horst","Kloss","Cunewalde","Germany","0372-035188","07/02/2017","2179,2","542415",14.4,45,"Chai","10 boxes x 20 bags","0"
"21","Customer",24,"Maria","Larsson","Bräcke","Sweden","0695-34 67 21","01/04/2018","2545","542833",19,5,"Chang","24 - 12 oz bottles","0"
"22","Customer",35,"Carlos","Hernández","San Cristóbal","Venezuela","(5) 555-1340","29/01/2018","2054","542771",19,50,"Chang","24 - 12 oz bottles","0"
"23","Customer",86,"Rita","Müller","Stuttgart","Germany","0711-020361","20/01/2018","620","542762",19,30,"Chang","24 - 12 oz bottles","0"
"24","Customer",67,"Janete","Limeira","Rio de Janeiro","Brazil","(21) 555-3412","10/01/2018","605","542752",19,20,"Chang","24 - 12 oz bottles","0"
"25","Customer",91,"Zbyszek","Piestrzeniewicz","Warszawa","Poland","(26) 642-7012","30/12/2017","808","542741",19,10,"Chang","24 - 12 oz bottles","0"
"26","Customer",89,"Karl","Jablonski","Seattle","USA","(206) 555-4112","14/09/2017","1388,5","542634",19,12,"Chang","24 - 12 oz bottles","0"
"27","Customer",47,"Felipe","Izquierdo","I. de Margarita","Venezuela","(8) 34-56-12","26/08/2017","1760","542615",15.2,20,"Chang","24 - 12 oz bottles","0"
"28","Customer",89,"Karl","Jablonski","Seattle","USA","(206) 555-4112","10/08/2017","1125,5","542599",15.2,40,"Chang","24 - 12 oz bottles","0"
"29","Customer",71,"Jose","Pavarotti","Boise","USA","(208) 555-8097","12/07/2017","5793,1","542570",15.2,45,"Chang","24 - 12 oz bottles","0"
"30","Customer",16,"Elizabeth","Brown","London","UK","(171) 555-2282","07/07/2017","631,6","542565",15.2,10,"Chang","24 - 12 oz bottles","0"
"31","Customer",63,"Horst","Kloss","Cunewalde","Germany","0372-035188","20/06/2017","1814,8","542548",15.2,60,"Chang","24 - 12 oz bottles","0"
"32","Customer",71,"Jose","Pavarotti","Boise","USA","(208) 555-8097","26/05/2017","3302,6","542523",15.2,25,"Chang","24 - 12 oz bottles","0"
"33","Customer",25,"Peter","Franken","München","Germany","089-0877310","05/04/2017","2300,8","542472",15.2,24,"Chang","24 - 12 oz bottles","0"
"34","Customer",37,"Patricia","McKenna","Cork","Ireland","2967 542","29/03/2017","2545,2","542465",15.2,7,"Chang","24 - 12 oz bottles","0"
"35","Customer",24,"Maria","Larsson","Bräcke","Sweden","0695-34 67 21","21/03/2017","2262,5","542457",15.2,25,"Chang","24 - 12 oz bottles","0"
"36","Customer",37,"Patricia","McKenna","Cork","Ireland","2967 542","20/02/2017","3127","542428",15.2,40,"Chang","24 - 12 oz bottles","0"
"37","Customer",24,"Maria","Larsson","Bräcke","Sweden","0695-34 67 21","17/01/2017","724,5","542394",15.2,35,"Chang","24 - 12 oz bottles","0"
"38","Customer",20,"Roland","Mendel","Graz","Austria","7675-3425","11/01/2017","2018,6","542388",15.2,50,"Chang","24 - 12 oz bottles","0"
"39","Customer",68,"Michael","Holz","Genève","Switzerland","0897-034214","08/01/2017","2490,5","542385",15.2,20,"Chang","24 - 12 oz bottles","0"
"40","Customer",1,"Maria","Anders","Berlin","Germany","030-0074321","31/03/2018","330","542832",10,6,"Aniseed Syrup","12 - 550 ml bottles","0"
"41","Customer",83,"Palle","Ibsen","Århus","Denmark","86 21 32 43","10/12/2017","812,5","542721",10,14,"Aniseed Syrup","12 - 550 ml bottles","0"
"42","Customer",63,"Horst","Kloss","Cunewalde","Germany","0372-035188","20/10/2017","10191,7","542670",10,60,"Aniseed Syrup","12 - 550 ml bottles","0"
"43","Customer",47,"Felipe","Izquierdo","I. de Margarita","Venezuela","(8) 34-56-12","26/08/2017","1760","542615",8,20,"Aniseed Syrup","12 - 550 ml bottles","0"
"44","Customer",47,"Felipe","Izquierdo","I. de Margarita","Venezuela","(8) 34-56-12","07/06/2017","400","542535",8,50,"Aniseed Syrup","12 - 550 ml bottles","0"
"45","Customer",11,"Victoria","Ashworth","London","UK","(171) 555-1212","11/02/2017","479,4","542419",8,30,"Aniseed Syrup","12 - 550 ml bottles","0"
"46","Customer",62,"Lúcia","Carvalho","Sao Paulo","Brazil","(11) 555-1189","02/04/2018","595,5","542834",22,6,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"47","Customer",5,"Christina","Berglund","Luleå","Sweden","0921-12 34 65","11/02/2018","668,7","542784",22,12,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"48","Customer",87,"Pirkko","Koskitalo","Oulu","Finland","981-443655)","24/01/2018","629,5","542766",22,25,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"49","Customer",49,"Giovanni","Rovelli","Bergamo","Italy","035-640230","23/01/2018","1380,25","542765",22,10,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"50","Customer",81,"Anabela","Domingues","Sao Paulo","Brazil","(11) 555-2167","25/12/2017","1413","542736",22,20,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"51","Customer",24,"Maria","Larsson","Bräcke","Sweden","0695-34 67 21","13/10/2017","2295,2","542663",22,50,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"52","Customer",63,"Horst","Kloss","Cunewalde","Germany","0372-035188","07/10/2017","1670","542657",22,50,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"53","Customer",9,"Laurence","Lebihan","Marseille","France","91.24.45.40","21/09/2017","3000","542641",22,50,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"54","Customer",28,"Lino","Rodriguez","Lisboa","Portugal","(1) 354-2534","05/08/2017","1848","542594",17.6,16,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"55","Customer",89,"Karl","Jablonski","Seattle","USA","(206) 555-4112","07/04/2017","2856","542474",17.6,35,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"56","Customer",51,"Jean","Fresnière","Montréal","Canada","(514) 555-8054","02/04/2017","3463,2","542469",17.6,10,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"57","Customer",60,"Isabel","de Castro","Lisboa","Portugal","(1) 356-5634","30/03/2017","316,8","542466",17.6,18,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"58","Customer",8,"Martín","Sommer","Madrid","Spain","(91) 555 22 82)","20/03/2017","982","542456",17.6,24,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
"59","Customer",37,"Patricia","McKenna","Cork","Ireland","2967 542","03/03/2017","1762","542439",17.6,20,"Chef Anton's Cajun Seasoning","48 - 6 oz jars","0"
